scenario,model,bin,n,mean_predicted,observed_event_rate
train_MIMIC_test_eICU,GradientBoosting,"(0.0010400000000000001, 0.00822]",736,0.005558842642528933,0.03804347826086957
train_MIMIC_test_eICU,GradientBoosting,"(0.00822, 0.0194]",736,0.01272495569271865,0.07065217391304347
train_MIMIC_test_eICU,GradientBoosting,"(0.0194, 0.0751]",734,0.041008053466764366,0.09536784741144415
train_MIMIC_test_eICU,GradientBoosting,"(0.0751, 0.312]",736,0.16482666951159736,0.08423913043478261
train_MIMIC_test_eICU,GradientBoosting,"(0.312, 0.997]",734,0.6715397293057658,0.1335149863760218
train_MIMIC_test_eICU,LogisticRegression,"(0.014499999999999999, 0.144]",736,0.10495206534377102,0.019021739130434784
train_MIMIC_test_eICU,LogisticRegression,"(0.144, 0.211]",736,0.1768450662288352,0.04891304347826087
train_MIMIC_test_eICU,LogisticRegression,"(0.211, 0.324]",734,0.26423401172913963,0.07629427792915532
train_MIMIC_test_eICU,LogisticRegression,"(0.324, 0.535]",736,0.41876070890413924,0.13858695652173914
train_MIMIC_test_eICU,LogisticRegression,"(0.535, 1.0]",734,0.7387521958075185,0.13896457765667575
train_MIMIC_test_eICU,RandomForest,"(0.00567, 0.107]",736,0.07179347826086953,0.03804347826086957
train_MIMIC_test_eICU,RandomForest,"(0.107, 0.19]",746,0.15045576407506697,0.045576407506702415
train_MIMIC_test_eICU,RandomForest,"(0.19, 0.27]",760,0.2320877192982456,0.10263157894736842
train_MIMIC_test_eICU,RandomForest,"(0.27, 0.37]",714,0.3157329598506069,0.07563025210084033
train_MIMIC_test_eICU,RandomForest,"(0.37, 0.797]",720,0.47677777777777774,0.16111111111111112
train_eICU_test_MIMIC,GradientBoosting,"(0.00427, 0.0151]",28,0.01154869038836193,0.21428571428571427
train_eICU_test_MIMIC,GradientBoosting,"(0.0151, 0.027]",27,0.021415743783327577,0.07407407407407407
train_eICU_test_MIMIC,GradientBoosting,"(0.027, 0.04]",27,0.035040618033918676,0.4444444444444444
train_eICU_test_MIMIC,GradientBoosting,"(0.04, 0.0742]",27,0.05408143317604264,0.4074074074074074
train_eICU_test_MIMIC,GradientBoosting,"(0.0742, 0.288]",27,0.1432497367701981,0.5555555555555556
train_eICU_test_MIMIC,LogisticRegression,"(-0.001, 0.0723]",28,0.013095514199404681,0.35714285714285715
train_eICU_test_MIMIC,LogisticRegression,"(0.0723, 0.195]",27,0.1348043348323006,0.25925925925925924
train_eICU_test_MIMIC,LogisticRegression,"(0.195, 0.311]",27,0.24588671097957912,0.2222222222222222
train_eICU_test_MIMIC,LogisticRegression,"(0.311, 0.629]",27,0.4801968793528183,0.3333333333333333
train_eICU_test_MIMIC,LogisticRegression,"(0.629, 0.996]",27,0.7877533167138423,0.5185185185185185
train_eICU_test_MIMIC,RandomForest,"(0.00233, 0.03]",30,0.022111111111111085,0.16666666666666666
train_eICU_test_MIMIC,RandomForest,"(0.03, 0.0567]",26,0.04717948717948713,0.19230769230769232
train_eICU_test_MIMIC,RandomForest,"(0.0567, 0.09]",26,0.07538461538461537,0.34615384615384615
train_eICU_test_MIMIC,RandomForest,"(0.09, 0.127]",27,0.1076543209876543,0.48148148148148145
train_eICU_test_MIMIC,RandomForest,"(0.127, 0.227]",27,0.15444444444444444,0.5185185185185185
